LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
1d58f4354e4cefffad89743d6e0ade789f3f4489c669fbaeb1a8f9184ccd85f2,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1d58f4354e4cefffad89743d6e0ade789f3f4489c669fbaeb1a8f9184ccd85f2,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
1dc16ae2cbcf4e3400e4e6b89439ecd57dea3f777ab6467de527459e6e0ed829,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1dc16ae2cbcf4e3400e4e6b89439ecd57dea3f777ab6467de527459e6e0ed829,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1ddb7dfe18d0b4ef3321f5dfe660578e946a7e3538335be1e7ccda6d4ebb82ee,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ddb7dfe18d0b4ef3321f5dfe660578e946a7e3538335be1e7ccda6d4ebb82ee,2,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,,£15 - £30
1e35f5929f5d5ed61aa2b0f5d1d0faeae7426e284fd09e74285c599169673832,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1e35f5929f5d5ed61aa2b0f5d1d0faeae7426e284fd09e74285c599169673832,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
1e35f5929f5d5ed61aa2b0f5d1d0faeae7426e284fd09e74285c599169673832,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1e4dec8354d7887cd296375186c4900454d8e79eeac5b22a9d8ffb7b3c2bbad8,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1e67579b053c2d65c9bd692f6c20674f10e858352dbb44e8a381d248da90b96e,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ec453aa2fa05f90a92ade0a4d9a7503d12d0b7378f71d5ed1bb86f4e29f4f56,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1ecc48c378bc99cc27296a4898efb741ff1d57045138a4a3a9c79b059e79c215,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1f0bfcf10d42f61e23844dca1d82eaf263c28118f3ca2fa053e793bfc849b58c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1f0bfcf10d42f61e23844dca1d82eaf263c28118f3ca2fa053e793bfc849b58c,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1f1380b7917a9228a9b4e3003643e95e24c6eea14d6c88c855cb73021ee86c6c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1f1f8c8c252f038d9988a4d57edcff3babadc87d75767ad44396385878a85216,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1f1f8c8c252f038d9988a4d57edcff3babadc87d75767ad44396385878a85216,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1f1f8c8c252f038d9988a4d57edcff3babadc87d75767ad44396385878a85216,3,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,,£15 - £30
1f1f8c8c252f038d9988a4d57edcff3babadc87d75767ad44396385878a85216,4,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1f9de563935ec74a10f4b8af3f594d057ba5e69049969d3bc59465e3fb9f4548,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1f9de563935ec74a10f4b8af3f594d057ba5e69049969d3bc59465e3fb9f4548,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1fd00b85cd1917aa9e422ae3cabd9aa80cd0e0f05a80768ab1db132e74eefa35,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1fddc817db541badbe354b93ab516578d72c4d4f4c92725035b2dd1b0fc6f498,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
20009375a55d98a90d7ee32ed6d62e0c5abe0094ace0e8b1af22622602b00b93,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
20009375a55d98a90d7ee32ed6d62e0c5abe0094ace0e8b1af22622602b00b93,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
205104881e59878a583322acd7eb5c4a409d214b9de27b6d344c9cad404d9774,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
205104881e59878a583322acd7eb5c4a409d214b9de27b6d344c9cad404d9774,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
208a4dbe1bc54883d08a0408d83a5a3ec4b7ae889e5373269373d27c554ed705,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
