OBJECTID,NAME,ESTATE_NAM,ESTATE_COD,Shape__Area,Shape__Length
145,KENNINGS,KENNINGS ESTATE,EA062,10102.0833053589,568.427752592898
146,LAMBETH TOWERS,LAMBETH TOWERS ESTATE,EA066,1568.21063995361,174.320381980302
147,MINET,MINET ESTATE,EA078,6984.28128814697,549.738323436176
148,PAULET ROAD,PAULET ROAD ESTATE,EA086,9930.37603759766,889.427670678563
149,RUSPER COURT,RUSPER COURT ESTATE,EA096,3479.54473876953,242.972406120635
150,VICTORIA,VICTORIA ESTATE,EA118,1626.80561065674,263.439304543257
151,WHITGIFT,WHITGIFT ESTATE,EA124,5059.55438232422,534.262646795329
152,WINDMILL HOUSE,WINDMILL HOUSE ESTATE,EA128,2859.32374572754,232.924856639456
153,BROADGATES COURT,BROADGATES COURT ESTATE,EB014,947.337287902832,143.44429704426
154,CARLTON MANSIONS,CARLTON MANSIONS ESTATE,EB019,707.579711914063,123.744572190554
155,CHAPLIN CLOSE,CHAPLIN CLOSE ESTATE,EB022,2909.92391204834,252.883820415107
156,CHELSHAM HOUSE,CHELSHAM HOUSE ESTATE,EB026,1661.8751449585,162.622838330237
157,CLIMSLAND HOUSE,CLIMSLAND HOUSE ESTATE,EB033,638.120018005371,115.400886045043
158,CRANMER ROAD,CRANMER ROAD ESTATE,EB038,764.632713317871,126.583945979987
159,CREWDSON ROAD,CREWDSON ROAD ESTATE,EB039,1392.52471923828,173.483947933228
160,CRIMSWORTH,CRIMSWORTH ESTATE,EB040,660.56623840332,108.27895004787
161,ELLIOT ROAD,ELLIOT ROAD ESTATE,EB043,988.491256713867,137.468852756327
162,EMILY MANSIONS,EMILY MANSIONS ESTATE,EB044,520.396240234375,105.000961540765
163,FITZALAN STREET,FITZALAN STREET ESTATE,EB046,1269.88636016846,147.200372329295
164,HERTFORD,HERTFORD ESTATE,EA053,15527.2080383301,783.539810917962
165,LILFORD,LILFORD ESTATE,EA070,14637.4390182495,539.863500389306
166,NELSONS ROW,NELSONS ROW ESTATE,EA082,16737.2874908447,945.151616208322
167,NOTRE DAME,NOTRE DAME ESTATE,EA083,46507.3841552734,1075.05722325254
168,OAKLANDS,OAKLANDS ESTATE,EA084,39330.8336791992,1563.53513273837
169,POYNDERS GARDENS,POYNDERS GARDENS ESTATE,EA089,25543.0866241455,687.154446082789
170,SOLON,SOLON ESTATE,EA101,17148.0196838379,875.428408681089
171,SOUTHWYCK HOUSE,SOUTHWYCK HOUSE ESTATE,EA103,7609.37795257568,804.656899728843
172,TULSE HILL,TULSE HILL ESTATE,EA115,80710.1660385132,1959.62292678922
173,WEIR,WEIR ESTATE,EA121,18758.7599334717,900.866038324433
174,ST MATTHEWS,ST MATTHEWS ESTATE,EA108,30752.5726547241,2472.56507943772
175,WESTBURY,WESTBURY ESTATE,EA123,26725.1892929077,843.067861374642
176,WILLIAM BONNEY,WILLIAM BONNEY ESTATE,EA126,19872.8579940796,1001.41632854357
177,ANGELL PARK GARDENS,ANGELL PARK GARDENS ESTATE,EA002,13802.8136520386,502.266224042841
178,ARLINGTON LODGE,ARLINGTON LODGE ESTATE,EA004,6822.22123718262,353.219633276456
179,BONHAM,BONHAM ESTATE,EA012,10114.9515151978,750.620322210491
180,BONNEVILLE/DEAUVILLE,BONNEVILLE/DEAUVILLE ESTA,EA013,8376.922996521,602.217994531932
181,BRIGHTON TERRACE,BRIGHTON TERRACE ESTATE,EA017,10105.0103225708,669.020951418893
182,BROCKWELL PARK,BROCKWELL PARK ESTATE,EA018,9358.72220611572,598.620079766038
183,CARFAX,CARFAX ESTATE,EA021,11159.0450515747,817.138482199772
184,EDMUNDSBURY COURT,EDMUNDSBURY COURT ESTATE,EA041,11016.0687789917,434.249829551347
185,HURST STREET,HURST STREET ESTATE,EA059,11216.7019729614,466.02690555485
186,JAMES HAYWARD,JAMES HAYWARD ESTATE,EA061,8996.49768829346,565.724837426809
187,MACAULAY,MACAULAY ESTATE,EA074,6767.3030166626,345.251156456155
188,MEATH,MEATH ESTATE,EA077,9100.34870910645,666.748308800117
189,RAILTON ROAD,RAILTON ROAD ESTATE,EA090,11365.6337432861,516.91067333695
190,RENTON CLOSE,RENTON CLOSE ESTATE,EA091,4013.36376190186,252.326425726023
191,RUSHCROFT ROAD,RUSHCROFT ROAD ESTATE,EA095,1623.18546295166,315.031727630546
192,SAXBY ROAD,SAXBY ROAD ESTATE,EA099,11152.6196975708,950.484656061928
193,SINCLAIR,SINCLAIR ESTATE,EA100,9076.77147674561,407.261597368586
194,ST ALPHONSUS,ST ALPHONSUS ESTATE,EA106,4386.99141693115,276.368702716128
195,THORNTON GARDENS,THORNTON GARDENS ESTATE,EA114,19043.6125183105,1300.14518901706
196,WILLARD,WILLARD ESTATE,EA125,14379.9255371094,584.597739925309
197,WILTSHIRE ROAD,WILTSHIRE ROAD ESTATE,EA127,3668.97801971436,532.329458820659
198,ARGYLL COURT,ARGYLL COURT ESTATE,EB003,1916.53800964355,207.470154879192
199,ASCOT COURT,ASCOT COURT ESTATE,EB004,1720.6234664917,180.94224026081
200,BARRY COURT FLATS,BARRY COURT FLATS,EB007,1103.32122802734,137.755406697389
201,BENTLEY COURT FLATS,BENTLEY COURT FLATS,EB009,1072.58553314209,137.721301818405
202,BOBBIN CLOSE FLATS,BOBBIN CLOSE FLATS,EB011,3577.18074798584,345.541851312197
203,BOWATER CLOSE,BOWATER CLOSE ESTATE,EB013,6329.33846282959,433.188178917846
